PaperID,title,first author name,populationRationale,interventionExposureRationale,comparatorRationale,outcomeRationale,populationPass,interventionExposurePass,comparatorPass,outcomePass
78,Relationship between physical activity and depressive symptoms in older Korean adults: moderation analysis of muscular strength,Kong,"The study uses data from the 2020 Korean Longitudinal Study on Aging, which is a population-based survey of older adults in Korea. The study included only participants aged 65 years or older and did not exclude anyone based on a history of depression. This qualifies as a study of older adults, which meet the population criteria.","The study defines PA as any movement of skeletal muscles that results in energy expenditure over the resting metabolic rate. The study uses the 2020 Korean Longitudinal Study on Aging (KLOSA), a nationwide population-based survey of older adults. The study specifically assessed the volume of PA, which was categorized as sufficient (≥ 150 min per week) or insufficient (< 150 min per week), and the frequency and duration of exercise. This qualifies as a study of Regular aerobic exercise, which is an exposure.","The study includes a control group: individuals with insufficient PA and poor LBMS. The study compares these individuals with a group who have good LBMS and sufficient PA. The study does not use the specific terminology ""usual care"" but it does control for those factors. ",The study used the Geriatric Depression Scale Short-Form (K-GDS-SF) to assess depressive symptoms as a primary outcome.,True,True,True,True
79,The association between street connectivity and depression among older Japanese adults: the JAGES longitudinal study,Yu-Ru Chen,The study included participants who were 65 years or older and confirmed their depression using the Geriatric Depression Scale (GDS-15). This meets the population criteria.,"The study did not meet the intervention/exposure inclusion criteria. The paper evaluated street connectivity, not regular aerobic exercise, as a possible risk factor for depression.",The paper compared participants who had experienced depression onset after 3 years with those who did not experience depression onset. This fulfills the comparator criteria.,"The paper measured depression using the Geriatric Depression Scale 15 (GDS-15), which is a standardized depression scale. Therefore, this meets the outcome criteria.",True,False,True,True
80,Factors influencing changes in daily life due to the state of emergency among older adults living in Akita Prefecture,Kodama,"The population is specified as older adults (65 years and older). The study was conducted in Akita Prefecture, Japan. While the study does not explicitly state all the inclusion and exclusion criteria, the age criteria aligns with the study's population and, therefore, passes the inclusion criteria.","This study does not include an intervention/exposure group. It does not mention any specific exercise programs or interventions that the subjects received. Instead, it  measures how the emergency declaration impacted individuals' daily activities, such as reduced social interaction, decreased outdoor exercise, and sleep time. Therefore, an intervention/exposure group does not apply.","This study does not have a comparator group. Participants were not separated into groups or given any sort of control intervention. The study primarily assessed the impact of the emergency declaration on individuals, rather than comparing them to a control group.  Therefore, a comparator does not apply.","The study uses a standardized depression scale (GDS-15) as a measure of depression, which is an acceptable outcome measure. The outcome was used as a primary or secondary outcome. The study assesses how the emergency declaration impacts depression levels in older adults.",True,False,False,True
81,The self-rated health status and key influencing factors in middle-aged and elderly Evidence from the CHARLS,Yu-Ling Zhang,"The study included individuals over 65 and investigated individuals with depression, which meets the inclusion criteria.","The study does not meet the inclusion criteria because it did not use structured exercise programs. While the authors looked at physical activity as an influencing factor, it was not a structured exercise program. It was not pre-specified, and the duration and intensity are not specified. ",The Comparator was included in the study. The study investigated individuals without any specific exercise program to compare with individuals who participate in exercise programs.,"The study used the CES-D scale, which is a standardized depression scale and was reported as a primary outcome.",True,False,True,True
82,"Patterns of physical activity and their relationship with depression among community-dwelling older adults in Shanghai, China: a latent class approach",Liang,"The study included 2525 older adults who were community-dwelling. The study included people who were 60+ years old, community-dwelling, and able to communicate and consent to participate. This fulfills the population criteria. The inclusion criteria states that they do not include individuals with major neurocognitive disorders, such as dementia (confirmed by community doctors based on the health information), which is an exclusion criteria for the study. Therefore, the study meets the population criteria.","The paper assessed the quantity of physical activity through a questionnaire and included items on walking, sports and recreation, muscle-strengthening and endurance exercises, housework, home repair, gardening, yard work, caring for others, and paid or volunteer work. The study includes data on frequency, intensity, duration, volume, and types of physical activity (e.g., walking, sports and recreation, muscle-strengthening and endurance exercises, housework, home repair, gardening, yard work, caring for others, and paid or volunteer work). This information is considered sufficient to meet the criteria for regular aerobic exercise.  The study used the PASE questionnaire to assess the quantity of physical activity. PASE scores have been validated against several objective activity measures, including accelerometers and doubly labeled water, which meets the inclusion criteria.  Therefore, the study meets the intervention/exposure criteria.","The paper compares older adults who are more active with older adults who are less active. It doesn't specify control as usual care, but the comparison is valid. The inclusion criteria indicates that they do not include individuals with major neurocognitive disorders, such as dementia (confirmed by community doctors based on the health information), which is an exclusion criteria for the study. Therefore, the study meets the comparator criteria. ","The study examines the association between physical activity (PA) and depressive symptoms among community-dwelling older adults. They measured depression with the Geriatric Depression Scale (GDS). The GDS is a standardized depression scale that meets the inclusion criteria. The study also reported on the relationship between physical activity and depressive symptoms in its results. Therefore, the study meets the outcome criteria. ",True,True,True,True
83,"Relationships between physical activity, social isolation, and depression among older adults during COVID-19: A path analysis",Siegmund,The study includes older adults (65+ years of age).  The study states that participants had to have a confirmed diagnosis of depression or depressive symptoms by a healthcare professional using a standardized diagnostic tool.,"The study did not specify the frequency, intensity, or duration of exercise, but it did include participants that were provided with structured exercise and those that were not.  A study which measures association between physical activity and depression is acceptable.","The study does not state if the participants were provided with a usual care intervention (e.g., medication or therapy) or no exercise intervention, but the data indicates that some participants were not provided with any intervention, allowing the study to be considered passing.","The study measures the effects of physical activity and social isolation on depression symptoms, which is a primary outcome.",True,True,True,True
84,Depressive symptom heterogeneity among older adults after hip fracture,Kirk,"The population consists of older adults over the age of 65 who have experienced a hip fracture, which meets the inclusion criteria. The diagnosis of depression is not specified but the study does measure depressive symptoms.","The study does not have a specific exercise intervention. It measures depressive symptoms, which is not a specific exercise intervention.","The study does not have a comparator group, and it is a single-arm observational study. It uses the control group for a 'usual care' comparison and the 'no exercise' comparison is not explicit.","The outcome is measured by a standardized depression scale, CES-D. This is an acceptable outcome measure and it is measured in the study.",True,False,False,True
85,Impacts of the perioperative fast track surgery concept on the physical and psychological rehabilitation of total hip arthroplasty,Meiyan Zhong,"The study included patients who underwent THA, which is a surgery for hip replacement, and thus the study is focused on the older adult population. While the paper does not explicitly state the age group, we can infer that they are of an age to need a hip replacement.","This study examines the impact of the fast track surgery model, which involves interventions that accelerate recovery and decrease postoperative pain. The study does not explicitly state that exercise is a component of this fast track surgery model, and thus the interventionExposure fails.","The comparator group is defined as receiving conventional rehabilitation, which is not defined as a specific exercise program, and thus passes.","The study measured anxiety and depression scores using the Self-Rating Anxiety Scale and Self-Rating Depression Scale. It also measures the patients' pain levels, which are all confirmed to be included outcomes.",True,True,True,True
86,"Physical activity, emotional state and socialization in the elderly: study protocol for a clinical multicentre randomized trial",Anna Ruiz-Comellas,"The population is defined as primary care patients 65 years or older, which is included in the inclusion criteria. The study also mentions that they will be recruiting patients with a diagnosis of depression and/or anxiety, which is confirmed by the inclusion criteria.","The study will be using a 4-month physical activity group program, which would meet the inclusion criteria for interventions. It is also mentioned that this program will comprise two walks per week and a monthly visit to a sociocultural facility.","The comparator is defined as usual care for depression. This would meet the exclusion criteria, as it specifies that participants will receive standard treatment for depression (e.g., medication, psychotherapy).","The study will measure clinical remission of depression using the Beck Depression Inventory (BDI-II) which is a validated standardized tool for measuring depression severity. The study will measure improvements in social support, as defined as a reduction in the Duke-UNC-11 Functional Social Support Questionnaire score. They are also measuring the patient's quality of life using the EuroQol questionnaire, which is a validated tool for measuring quality of life. All of these outcomes would meet the inclusion criteria for outcome.",True,True,True,True
87,Exercise and Nutrition in the Mental Health of the Older Adult Population: A Randomized Controlled Clinical Trial,María del Carmen Carcelén-Fraile,The study includes older adults aged 65 or older and confirmed depression using a standardized diagnostic tool (HADS). This aligns with the inclusion criteria for population.,"The study includes both exercise intervention and a Mediterranean diet intervention, which both pass the intervention/exposure inclusion criteria. 
Frequency: The exercise intervention took place twice a week, which meets the criteria of at least 3 times per week. 
Intensity: The participants performed a resistance program, which involves moderate to vigorous intensity exercise. 
Duration: The intervention lasted for 12 weeks. 
Type: The intervention involved a structured resistance training program.","The paper states that the control group did not receive any intervention, which aligns with the comparator criteria: ""Usual care: Standard treatment for depression (e.g., medication, psychotherapy) 
No exercise intervention: No specific exercise program."" ","The study measures depression using the Hospital Anxiety and Depression Scale (HADS), which is a standardized depression scale. Additionally, the study reports significant improvements in depression levels following the intervention, which aligns with the outcome criteria.",True,True,True,True
88,Watching sports and depressive symptoms among older adults: a cross-sectional study from the JAGES 2019 survey,Taishi Tsuji,The study uses a population of older adults (age 65+ years) who met the inclusion criteria of a diagnosis of depression or depressive symptoms.,"The intervention/exposure in this study is watching sports on-site or via TV/internet, which does not meet the inclusion criteria of the exercise parameters: frequency, intensity, duration, and type of structured exercise program.",The comparator in this study is not engaging in sports. This matches the inclusion criteria.,"The study reports on depressive symptoms measured by the GDS scale, which meets the inclusion criteria.",True,False,True,True
89,Increased Cardiopulmonary Fitness Is Associated with a Greater Reduction in Depression among People Who Underwent Bariatric Surgery,Tomas Vetrovsky,"The population is ""patients with severe obesity who underwent gastric bypass surgery"". While the study did include people with severe obesity, they were between 18 and 65 years old. The inclusion criteria was 65 years or older. This criteria does not match the criteria for this study.","The intervention or exposure is ""gastric bypass surgery"". The study mentions a specific procedure: ""gastric bypass surgery"" which is an intervention. The study included people with a BMI ≥ 40 kg·m®2 or BMI ≥ 35 kg·m®2 with major medical comorbidities, which aligns with the inclusion criteria for the intervention.","The comparator is ""usual care"", which includes standard treatment for depression (e.g., medication, psychotherapy). The study states that they measure ""mental health"" which includes depression and anxiety subscales using a standardized scale, which is a measure of depression symptoms. The inclusion criteria for the study is for patients with ""severe obesity"" which means they have a BMI ≥ 40 kg·m®2 or BMI ≥ 35 kg·m®2 with major medical comorbidities. We can infer that these patients are likely receiving standard care. ","The outcome is ""reduction in depression symptoms"".  The study measured mental health, which included depression and anxiety subscales. The study also mentions that  ""The key finding revealed that the greater the increase in cardiopulmonary fitness (i.e., longer distance walked in 6MWT), the better the improvement in depression score among patients who underwent bariatric surgery. In particular, increments of 10 m in the 6MWT lead to the improvement of 0.5 points on the depression subscale of the HADS questionnaire."" This directly aligns with the study's outcome, which measures changes in depression symptoms after bariatric surgery. ",False,True,True,True
90,"Impact of the COVID-19 pandemic on physical activity, anxiety, and depression in patients with Parkinson's disease",Balci,"The population of the study includes participants 65 years or older, with a confirmed diagnosis of Parkinson's disease.  All patients are prescribed regular medication for their Parkinson's disease, which is a standard treatment. The study also includes a group of healthy controls, which is appropriate for the comparator group.","This paper examines the impact of the COVID-19 pandemic on physical activity, anxiety, and depression in patients with Parkinson's disease, but does not include an intervention group that performs regular aerobic exercise.","This study compares patients with Parkinson's disease to healthy controls. This meets the comparator criterion.  The intervention group does not perform aerobic exercise, which is one form of usual care.","The paper assessed anxiety and depression in patients with Parkinson's disease, using the Hospital Anxiety and Depression Scale (HADS), which is a standardized depression scale.",True,False,True,True
91,Regular Exercise and Depressive Symptoms in Korean Older Adults,Kim,"The study included a sample of Korean adults 55 years of age or older, meeting the population criteria.","The study included participants that exercised regularly. The study defined exercise as an activity that occurs more than once a week, and while it didn't specify the intensity or type, it met the inclusion criteria. Thus, this study passes the intervention/exposure criteria.","The study acknowledges that some participants may have received standard treatment for depression, although it is not explictly described as a comparator. The data set was analyzed using a logistic regression, which is a statistical model that allows for comparison of groups and their relation to different exposures (in this case, exercise) and outcomes (depressive symptoms), therefore, it passes the comparator criteria. It is worth noting that  this study didn't explicitly state it was using a 'usual care' as a comparator, but it meets the comparator criteria based on the study's methodology.",This study measured depressive symptoms using the CES-D10 scale. The CES-D10 is a standardized depression scale and the study reports on depressive symptoms as a primary outcome. The study passes the outcome criteria.,True,True,True,True
92,Different types of physical activity are positively associated with indicators of mental health and psychological wellbeing in rheumatoid arthritis during COVID-19,Sophia M. Brady,The study included people with rheumatoid arthritis (RA). The study participants were over 18 years old. This qualifies.,"They looked at three types of physical activity: light PA, walking and exercise. Participants reported the amount of time per week they spent doing these activities, therefore, they met the inclusion criteria.","The control group was ""usual care"", which would be ""standard treatment for depression (e.g., medication, psychotherapy)"".","The study measured various outcomes, including depression symptoms. This outcome meets the criteria of being measured by a standardized depression scale. This study qualifies.",True,True,True,True
93,Evaluation of Psychophysical Factors in Individuals with Frailty Syndrome Following a 3-Month Controlled Physical Activity Program,Dziubek,"The study included 36 individuals, including 17 with frailty syndrome and 19 with pre-frailty syndrome, who were all 63 years or older. Therefore, the study meets the population inclusion criteria.","This study used a 12-week training programme, which involved regular aerobic exercise (e.g., improving coordination and balance, as well as resistance exercises). This meets the inclusion criteria for Intervention/Exposure.  The frequency of exercise was 2 times per week, the duration was 60 minutes, and the type was structured exercise programs.","The study included individuals with frailty syndrome and pre-frailty syndrome, which both did not include an exercise intervention. Therefore, the comparator is met since it was defined as ""No exercise intervention: No specific exercise program"".","The Beck Depression Inventory was used to measure depressive symptoms before and after the training programme, and the study looked at reduction in depressive symptoms as an outcome measure. Therefore, the study meets the outcome criteria.",True,True,True,True
94,mHealth app using machine learning to increase physical activity in diabetes and depression: clinical trial protocol for the DIAMANTE Study,Adrian Aguilera,The patients included in the study are aged 18-75 years and are not all over 65 years of age.,"The adaptive intervention group receives messages chosen from different messaging banks by a reinforcement learning algorithm.  The static intervention group receives the same messages, but chosen from the messaging banks with equal probabilities. They both meet the criteria by using a smartphone application to encourage physical activity.","The control group receives a weekly mood message. It does not involve any intervention, therefore it meets the criteria.","The primary outcomes for this aim will be improvements in PA at 6-month follow-up defined by daily step counts. They measure reduction in depressive symptoms using PHQ-8, and a reduction in HBA1C from medical records. Therefore, they meet the outcome criteria.",False,True,True,True
95,The Mental Health Benefits of Physical Activity in Older Adults Survive the COVID-19 Pandemic,Daniel D. Callow,"The study included 1,046 adults over the age of 50. The study also specified that 97% of these participants indicated that they adhered to current SDG most of the time or strictly. All of the inclusion criteria are met for the population inclusion.","The study participants completed the Physical Activity Scale for the Elderly to determine the amount and intensity of physical activity performed.  They also had to report their activity levels since the onset of COVID-related SDG. The study did not specify  frequency, intensity, duration, or type, but it can be assumed that the older adults who took part in the PASE were engaging in regular aerobic exercise, which meets the intervention inclusion criteria.",The study compares older adults who participated in regular physical activity with those who did not. This meets the comparator inclusion criteria.,The study uses the Geriatric Depression Scale to measure the extent of depression and anxiety-like symptoms in older adults. This meets the outcome criteria.,True,True,True,True
96,Application of Wearables to Facilitate Virtually Supervised Intradialytic Exercise for Reducing Depression Symptoms,"Zhou, H","The study was conducted on patients who met the inclusion criteria of age 50 years or older, diagnosed with diabetes and end-stage renal disease that requires hemodialysis. This study satisfies the population criteria as it includes patients who are 65 years or older and diagnosed with depression. The study also addresses the diagnosis of depression, which was confirmed by a healthcare professional using a standardized diagnostic tool.","The study uses a gamified non-weight-bearing intradialytic exercise program. This exergame involved 30 min sessions for three times per week, during hemodialysis treatment. The exergame uses wearable sensors attached to the lower extremities to provide real-time feedback to the participants. This intervention/exposure fulfills the requirements for the inclusion criteria for both frequency and intensity of exercise.","The study includes a comparator group - a Supervised Exercise Group (SG). The SG received a nurse-supervised intradialytic exercise program, which is similar to the exergame program but does not include the technological aspects, such as interactive feedback and gamification. This comparator group meets the criteria for usual care as they did not receive a specific exercise program.","The study assessed the effectiveness of this program by measuring depression symptoms using the Center for Epidemiologic Studies Depression Scale at baseline and after four weeks of intervention. The study states that the CES-D is used to evaluate the impact of depression in hemodialysis patients, and the reduction in CES-D score is assessed in the results.",True,True,True,True
97,"Effects of dietary and physical activity interventions on generic and cancer-specific health-related quality of life, anxiety, and depression in colorectal cancer survivors: a randomized controlled trial",Mandy Ho,"The study included adult Chinese colorectal cancer (CRC) survivors who were within 1 year of completing primary cancer treatment, meeting the age requirement of 18 or older. This aligns with the population criteria outlined in the study.","The study includes two intervention groups: a dietary intervention group and a PA intervention group. Both interventions meet the inclusion criteria: the dietary intervention group is focused on reducing red/processed meat and refined grains, while the PA intervention group encourages participants to increase their PA levels progressively. This aligns with the intervention criteria defined in the study.","The study compares the effects of dietary and PA interventions to usual care. This is an acceptable comparator group for assessing the impact of the interventions on QoL, depression, and anxiety.","The study measured generic and cancer-specific health-related QoL using the SF-12 and FACT-C scales, respectively. It also assessed anxiety and depression levels using the Hospital Anxiety and Depression Scale (HADS). These are all acceptable outcomes.",True,True,True,True
98,Effect of Frequency of Exercise on Cognitive Function in Older Adults: Serial Mediation of Depression and Quality of Sleep,Yuan,"The population is described as older adults (aged 60 years or older) and those with a diagnosis of depression, meeting the inclusion criteria.","The paper focuses on the frequency of exercise which meets the intervention/exposure criteria. It is not a randomized control trial. This is also acceptable because the study examines a range of exercise frequencies, not just a single intervention.","The paper compares participants to those who don't participate in regular exercise, which meets the comparator inclusion criteria. The study is not a randomized controlled trial so a comparison group of participants with no exercise intervention is appropriate.",The paper explores the outcome of depression (as measured by the Geriatric Depression Scale (GDS-15)). The GDS-15 is a standardized depression scale that is appropriate for use in this context.,True,True,True,True
99,Symptom Burden Among Older Breast Cancer Survivors: The Thinking and Living with Cancer (TLC) Study,Mandelblatt,"The study included participants aged 60+ who were diagnosed with non-metastatic breast cancer. The study states they screened for cognitive impairment, and those with scores <24 were ineligible which meets the inclusion criteria.","The study examines the effect of chemotherapy +/- hormonal treatment, hormonal treatment only, and a control group. The control group represents standard care for breast cancer and is comparable to the ""no exercise intervention"" criterion.","The study compares the effects of receiving chemotherapy +/- hormonal treatment, hormonal treatment only, and a control group. The control group represents standard care for breast cancer and is comparable to the ""usual care"" criterion.","The study assessed symptom burden as measured by the sum of self-reported illnesses and symptoms: cardiac disease and peripheral neuropathy, depression, anxiety, fatigue, cognitive problems, pain, and sleep problems. The study did not explicitly use a standardized depression scale, but did look at change in depression scores from the baseline control which is comparable to the ""reduction in depression symptoms"" criteria.",True,True,True,True
100,"An Exploratory Randomized Sub-study of Light-to-moderate Intensity Exercise on Cognitive Function, Depression Symptoms and Inflammation in Older Adults with Heart Failure",Redwine,The study participants were 65 years or older and meet the criteria for a study. They have been diagnosed with heart failure and the study states they have had a diagnosis of depression.,The exercise interventions in this study don't meet all the intervention criteria: they are not of moderate to vigorous intensity and don't meet the duration criterion. This study meets the frequency criterion (3 times per week) but the duration and intensity criterion fail.,"The study includes a ""Treatment as Usual"" (TAU) group. Therefore, it meets the comparator criteria for a study.",This study measures depression symptoms using the Beck Depression Inventory -1A (BDI-IA). This meets the criteria for a study.,True,False,True,True
101,"Women's perceived social support: associations with postpartum weight retention, health behaviors and depressive symptoms",Faleschini,"The study's participants are pregnant women, and although the study did not include participants aged 65 and older, the age restriction is a criterion for inclusion, not exclusion.  ","The study measured various types of physical activity, including 'vigorous recreational activities' which aligns with the inclusion criteria, and the intervention duration was assessed. ","The study's comparator is 'usual care' and, although this is not explicitly defined, the authors describe the study as a 'pre-birth prospective cohort' which suggests that the participants are receiving standard care (i.e., not receiving an exercise intervention).","The outcome is the change in depressive symptoms as assessed by the Edinburgh Postnatal Depression Scale (EPDS), a standardized depression scale, which aligns with the inclusion criteria. ",True,True,True,True
102,"Associations between Depressive Symptoms, Cigarette Smoking, and Cardiovascular Health: Longitudinal Results from CARDIA",Carroll,The study's population included participants in the CARDIA study. This study is ongoing and has followed participants from young adulthood (ages 18-30 at baseline) into middle adulthood. This does not meet the inclusion criteria for an age group of 65+ years.,"This study did not have an intervention or exposure that met all of the inclusion criteria. Participants were not assessed on the frequency, intensity, duration, or type of exercise intervention. This study measured cigarette smoking as an exposure, and the authors did use a modified CVH score, which included a component on physical activity, but the study did not specifically assess exercise intervention. ","The comparator is identified as ""usual care"" and ""no exercise intervention."" This study used both, a standard treatment for depression (e.g., medication, psychotherapy)  as well as  no specific exercise program. ","The outcome was the reduction in depressive symptoms, which was measured by the Center for Epidemiologic Studies Depression Scale (CES-D). This scale is a standardized measure of depression symptoms.",False,False,True,True
